,pclass,survived,gender,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
309,1,1,female,31.0,0,2,36928,$164.87 ,C7,S,8,,"Youngstown, OH"
310,1,0,male,57.0,1,1,36928,$164.87 ,,S,,,"Youngstown, OH"
311,1,1,female,45.0,1,1,36928,$164.87 ,,S,8,,"Youngstown, OH"
312,1,0,male,50.0,1,1,113503,$211.50 ,C80,C,,,"Elkins Park, PA"
313,1,0,male,27.0,0,2,113503,$211.50 ,C82,C,,,"Elkins Park, PA"
314,1,1,female,50.0,1,1,113503,$211.50 ,C80,C,4,,"Elkins Park, PA"
315,1,1,female,21.0,0,0,113795,$26.55 ,,S,8 10,,"Duluth, MN"
316,1,0,male,51.0,0,1,PC 17597,$61.38 ,,C,,,"Geneva, Switzerland / Radnor, PA"
317,1,1,male,21.0,0,1,PC 17597,$61.38 ,,C,A,,"Geneva, Switzerland / Radnor, PA"
318,1,0,male,,0,0,113510,$35.00 ,C128,S,,,"London, England"
319,1,1,female,31.0,0,0,16966,$134.50 ,E39 E41,C,3,,
320,1,1,male,,0,0,19947,$35.50 ,C52,S,D,,"London, England"
321,1,0,male,62.0,0,0,113807,$26.55 ,,S,,,"Halifax, NS"
322,1,1,female,36.0,0,0,PC 17760,$135.63 ,C32,C,8,,"New York, NY / Washington, DC"
323,2,0,male,30.0,1,0,P/PP 3381,$24.00 ,,C,,,"Russia New York, NY"
324,2,1,female,28.0,1,0,P/PP 3381,$24.00 ,,C,10,,"Russia New York, NY"
325,2,0,male,30.0,0,0,248744,$13.00 ,,S,,,"Bryn Mawr, PA, USA"
326,2,0,male,18.0,0,0,231945,$11.50 ,,S,,,"Buenos Aires, Argentina / New Jersey, NJ"
327,2,0,male,25.0,0,0,C.A. 34050,$10.50 ,,S,,,"Cornwall, England Houghton, MI"
328,2,0,male,34.0,1,0,226875,$26.00 ,,S,,,"Warwick, England"
329,2,1,female,36.0,1,0,226875,$26.00 ,,S,11,,"Warwick, England"
330,2,0,male,57.0,0,0,244346,$13.00 ,,S,,,"West Hoboken, NJ"
331,2,0,male,18.0,0,0,29108,$11.50 ,,S,,,"Penzance, Cornwall / Akron, OH"
332,2,0,male,23.0,0,0,C.A. 31030,$10.50 ,,S,,,Guernsey
333,2,1,female,36.0,0,0,28551,$13.00 ,D,S,10,,"Bristol, Avon / Jacksonville, FL"
334,2,0,male,28.0,0,0,C.A./SOTON 34068,$10.50 ,,S,,,"Plymouth, Dorset / Houghton, MI"
335,2,0,male,51.0,0,0,S.O.P. 1166,$12.53 ,,S,,174.0,"Jacksonville, FL"
336,2,1,male,32.0,1,0,2908,$26.00 ,,S,13,,"Norwich / New York, NY"
337,2,1,female,19.0,1,0,2908,$26.00 ,,S,13,,"Norwich / New York, NY"
338,2,0,male,28.0,0,0,244358,$26.00 ,,S,,,England
339,2,1,male,1.0,2,1,230136,$39.00 ,F4,S,11,,"Guntur, India / Benton Harbour, MI"
340,2,1,female,4.0,2,1,230136,$39.00 ,F4,S,11,,"Guntur, India / Benton Harbour, MI"
341,2,1,female,12.0,2,1,230136,$39.00 ,F4,S,13,,"Guntur, India / Benton Harbour, MI"
342,2,1,female,36.0,0,3,230136,$39.00 ,F4,S,11,,"Guntur, India / Benton Harbour, MI"
343,2,1,male,34.0,0,0,248698,$13.00 ,D56,S,13,,London
344,2,1,female,19.0,0,0,28404,$13.00 ,,S,12,,"Rochester, NY"
345,2,0,male,23.0,0,0,28425,$13.00 ,,S,,,"St Ives, Cornwall / Calumet, MI"
346,2,0,male,26.0,0,0,237670,$13.00 ,,S,,,"Elmira, NY / Orange, NJ"
347,2,0,male,42.0,0,0,211535,$13.00 ,,S,,,London
348,2,0,male,27.0,0,0,220367,$13.00 ,,S,,,"Lake Arthur, Chavez County, NM"
349,2,1,female,24.0,0,0,248733,$13.00 ,F33,S,11,,"London / Montreal, PQ"
350,2,1,female,15.0,0,2,29750,$39.00 ,,S,14,,"Cape Town, South Africa / Seattle, WA"
351,2,0,male,60.0,1,1,29750,$39.00 ,,S,,,"Cape Town, South Africa / Seattle, WA"
352,2,1,female,40.0,1,1,29750,$39.00 ,,S,14,,"Cape Town, South Africa / Seattle, WA"
353,2,1,female,20.0,1,0,236853,$26.00 ,,S,12,,"Skara, Sweden / Rockford, IL"
354,2,0,male,25.0,1,0,236853,$26.00 ,,S,,,"Skara, Sweden / Rockford, IL"
355,2,1,female,36.0,0,0,27849,$13.00 ,,S,9,,"Sittingbourne, England / San Diego, CA"
356,2,0,male,25.0,0,0,234686,$13.00 ,,S,,97.0,"Southsea, Hants"
357,2,0,male,42.0,0,0,244310,$13.00 ,,S,,,London
358,2,1,female,42.0,0,0,236852,$13.00 ,,S,,,"New York, NY"
359,2,1,male,0.8333,0,2,248738,$29.00 ,,S,13,,"Bangkok, Thailand / Roseville, IL"
360,2,1,male,26.0,1,1,248738,$29.00 ,,S,13,,"Bangkok, Thailand / Roseville, IL"
361,2,1,female,22.0,1,1,248738,$29.00 ,,S,13,,"Bangkok, Thailand / Roseville, IL"
362,2,1,female,35.0,0,0,F.C.C. 13528,$21.00 ,,S,14,,"Mamaroneck, NY"
363,2,0,male,,0,0,239853,$0.00 ,,S,,,Belfast
364,2,0,male,19.0,0,0,28424,$13.00 ,,S,,18.0,"St Ives, Cornwall / Calumet, MI"
365,2,0,female,44.0,1,0,244252,$26.00 ,,S,,,London
366,2,0,male,54.0,1,0,244252,$26.00 ,,S,,,London
367,2,0,male,52.0,0,0,248731,$13.50 ,,S,,130.0,"Bronx, NY"
368,2,0,male,37.0,1,0,SC/AH 29037,$26.00 ,,S,,17.0,"Cornwall / Spokane, WA"
369,2,0,female,29.0,1,0,SC/AH 29037,$26.00 ,,S,,,"Cornwall / Spokane, WA"
370,2,1,female,25.0,1,1,237789,$30.00 ,,S,12,,London
371,2,1,female,45.0,0,2,237789,$30.00 ,,S,12,,London
372,2,0,male,29.0,1,0,2003,$26.00 ,,S,,,"England / San Francisco, CA"
373,2,1,female,28.0,1,0,2003,$26.00 ,,S,14,,"England / San Francisco, CA"
374,2,0,male,29.0,0,0,W./C. 14263,$10.50 ,,S,,,"Hartford, Huntingdonshire"
375,2,0,male,28.0,0,0,248740,$13.00 ,,S,,,"Helsinki, Finland Ashtabula, Ohio"
376,2,1,male,24.0,0,0,28034,$10.50 ,,S,9,,"London / Fort Byron, NY"
377,2,1,female,8.0,0,2,C.A. 31921,$26.25 ,,S,14,,"Bishopstoke, Hants / Fayette Valley, ID"
378,2,0,male,31.0,1,1,C.A. 31921,$26.25 ,,S,,,"Bishopstoke, Hants / Fayette Valley, ID"
379,2,1,female,31.0,1,1,C.A. 31921,$26.25 ,,S,14,,"Bishopstoke, Hants / Fayette Valley, ID"
380,2,1,female,22.0,0,0,W./C. 14266,$10.50 ,F33,S,14,,Pennsylvania
381,2,0,female,30.0,0,0,237249,$13.00 ,,S,,,"Provo, UT"
382,2,0,female,,0,0,F.C.C. 13534,$21.00 ,,S,,,"Upper Burma, India Pittsburgh, PA"
383,2,0,male,21.0,0,0,29107,$11.50 ,,S,,,"Penzance, Cornwall / Akron, OH"
384,2,0,male,,0,0,239853,$0.00 ,,S,,,Belfast
385,2,1,male,8.0,1,1,C.A. 33112,$36.75 ,,S,14,,"St Ives, Cornwall / Hancock, MI"
386,2,0,male,18.0,0,0,S.O.C. 14879,$73.50 ,,S,,,"Lyndhurst, England"
387,2,1,female,48.0,0,2,C.A. 33112,$36.75 ,,S,14,,"St Ives, Cornwall / Hancock, MI"
388,2,1,female,28.0,0,0,237668,$13.00 ,,S,13,,"London / Staten Island, NY"
389,2,0,male,32.0,0,0,244360,$13.00 ,,S,,,"Portugal / Sau Paulo, Brazil"
390,2,0,male,17.0,0,0,S.O.C. 14879,$73.50 ,,S,,,
391,2,0,male,29.0,1,0,SC/PARIS 2167,$27.72 ,,C,,295.0,"Lucca, Italy / California"
392,2,1,female,24.0,1,0,SC/PARIS 2167,$27.72 ,,C,12,,"Lucca, Italy / California"
393,2,0,male,25.0,0,0,C.A. 31029,$31.50 ,,S,,,"Guernsey / Elizabeth, NJ"
394,2,0,male,18.0,0,0,S.O.C. 14879,$73.50 ,,S,,,"New Forest, England"
395,2,1,female,18.0,0,1,231919,$23.00 ,,S,,,Southampton
396,2,1,female,34.0,0,1,231919,$23.00 ,,S,,,Southampton
397,2,0,male,54.0,0,0,28403,$26.00 ,,S,,,"Holley, NY"
398,2,1,male,8.0,0,2,28220,$32.50 ,,S,10,,"Greenport, NY"
399,2,0,male,42.0,1,1,28220,$32.50 ,,S,,,"Greenport, NY"
400,2,1,female,34.0,1,1,28220,$32.50 ,,S,10,,"Greenport, NY"
401,2,1,female,27.0,1,0,SC/PARIS 2149,$13.86 ,,C,12,,"Barcelona, Spain / Havana, Cuba"
402,2,1,female,30.0,1,0,SC/PARIS 2148,$13.86 ,,C,12,,"Barcelona, Spain / Havana, Cuba"
403,2,0,male,23.0,0,0,29751,$13.00 ,,S,,,"England / Detroit, MI"
404,2,0,male,21.0,0,0,236854,$13.00 ,,S,,,"Goteborg, Sweden / Rockford, IL"
405,2,0,male,18.0,0,0,236171,$13.00 ,,S,,,"Oslo, Norway Bayonne, NJ"
406,2,0,male,40.0,1,0,2926,$26.00 ,,S,,286.0,"England / Philadelphia, PA"
407,2,1,female,29.0,1,0,2926,$26.00 ,,S,16,,
408,2,0,male,18.0,0,0,C.A. 15185,$10.50 ,,S,,,"Cornwall / Houghton, MI"
409,2,0,male,36.0,0,0,229236,$13.00 ,,S,,236.0,"Rochester, NY"
410,2,0,male,,0,0,239854,$0.00 ,,S,,,Belfast
411,2,0,female,38.0,0,0,237671,$13.00 ,,S,,,"Janjgir, India / Pennsylvania"
412,2,0,male,35.0,0,0,239865,$26.00 ,,S,,322.0,"Liverpool / Montreal, PQ"
413,2,0,male,38.0,1,0,28664,$21.00 ,,S,,,"Cornwall / Clear Creek, CO"
414,2,0,male,34.0,1,0,28664,$21.00 ,,S,,,"Cornwall / Clear Creek, CO"
415,2,1,female,34.0,0,0,243880,$13.00 ,,S,12,,"Brooklyn, NY"
416,2,0,male,16.0,0,0,239865,$26.00 ,,S,,,"Liverpool / Montreal, PQ"
417,2,0,male,26.0,0,0,31028,$10.50 ,,S,,,"Guernsey / Elizabeth, NJ"
418,2,0,male,47.0,0,0,C.A. 30769,$10.50 ,,S,,,Cornwall
419,2,0,male,21.0,1,0,28133,$11.50 ,,S,,,"Cornwall / Camden, NJ"
420,2,0,male,21.0,1,0,28134,$11.50 ,,S,,,"Cornwall / Camden, NJ"
421,2,0,male,24.0,0,0,248726,$13.50 ,,S,,297.0,"West Kensington, London"
422,2,0,male,24.0,0,0,233866,$13.00 ,,S,,155.0,"Clevedon, England"
423,2,0,male,34.0,0,0,12233,$13.00 ,,S,,,"Vancouver, BC"
424,2,0,male,30.0,0,0,250646,$13.00 ,,S,,305.0,
425,2,0,male,52.0,0,0,250647,$13.00 ,,S,,19.0,"Bronx, NY"
426,2,0,male,30.0,0,0,250653,$13.00 ,,S,,75.0,"Auburn, NY"
427,2,1,male,0.6667,1,1,250649,$14.50 ,,S,4,,"Detroit, MI"
428,2,1,female,24.0,0,2,250649,$14.50 ,,S,4,,"Detroit, MI"
429,2,0,male,44.0,0,0,248746,$13.00 ,,S,,35.0,"Seattle, WA / Toledo, OH"
430,2,1,female,6.0,0,1,248727,$33.00 ,,S,11,,"Denmark Hill, Surrey / Chicago"
431,2,0,male,28.0,0,1,248727,$33.00 ,,S,,,"Denmark Hill, Surrey / Chicago"
432,2,1,male,62.0,0,0,S.W./PP 752,$10.50 ,,S,15,,London
433,2,0,male,30.0,0,0,W/C 14208,$10.50 ,,S,,,"Walthamstow, England"
434,2,1,female,7.0,0,2,F.C.C. 13529,$26.25 ,,S,14,,"Ilford, Essex / Winnipeg, MB"
435,2,0,male,43.0,1,1,F.C.C. 13529,$26.25 ,,S,,,"Ilford, Essex / Winnipeg, MB"
436,2,1,female,45.0,1,1,F.C.C. 13529,$26.25 ,,S,14,,"Ilford, Essex / Winnipeg, MB"
437,2,1,female,24.0,1,2,220845,$65.00 ,,S,9,,"Somerset / Bernardsville, NJ"
438,2,1,female,24.0,1,2,220845,$65.00 ,,S,9,,"Somerset / Bernardsville, NJ"
439,2,0,male,49.0,1,2,220845,$65.00 ,,S,,,"Somerset / Bernardsville, NJ"
440,2,1,female,48.0,1,2,220845,$65.00 ,,S,9,,"Somerset / Bernardsville, NJ"
441,2,1,female,55.0,0,0,248706,$16.00 ,,S,13,,"India / Rapid City, SD"
442,2,0,male,24.0,2,0,S.O.C. 14879,$73.50 ,,S,,,"West Hampstead, London / Neepawa, MB"
443,2,0,male,32.0,2,0,S.O.C. 14879,$73.50 ,,S,,256.0,"West Hampstead, London / Neepawa, MB"
444,2,0,male,21.0,2,0,S.O.C. 14879,$73.50 ,,S,,,"West Hampstead, London / Neepawa, MB"
445,2,0,female,18.0,1,1,250650,$13.00 ,,S,,,"Kontiolahti, Finland / Detroit, MI"
446,2,1,female,20.0,2,1,29105,$23.00 ,,S,4,,"Cornwall / Akron, OH"
447,2,0,male,23.0,2,1,29104,$11.50 ,,S,,,"Cornwall / Akron, OH"
448,2,0,male,36.0,0,0,242963,$13.00 ,,S,,,"Devonport, England"
449,2,1,female,54.0,1,3,29105,$23.00 ,,S,4,,"Cornwall / Akron, OH"
450,2,0,male,50.0,0,0,250643,$13.00 ,,S,,149.0,Southampton
451,2,0,male,44.0,1,0,26707,$26.00 ,,S,,,"England / Sacramento, CA"
452,2,1,female,29.0,1,0,26707,$26.00 ,,S,10,,"England / Sacramento, CA"
453,2,0,male,21.0,0,0,S.O.C. 14879,$73.50 ,,S,,,"New Forest, England"
454,2,1,male,42.0,0,0,237798,$13.00 ,,S,10,,"Tokyo, Japan"
455,2,0,male,63.0,1,0,24065,$26.00 ,,S,,,"Swindon, England"
456,2,0,female,60.0,1,0,24065,$26.00 ,,S,,,"Swindon, England"
457,2,0,male,33.0,0,0,SCO/W 1585,$12.28 ,,S,,,"Philadelphia, PA"
458,2,1,female,17.0,0,0,SO/C 14885,$10.50 ,,S,,,Guernsey
459,2,0,male,42.0,1,0,243847,$27.00 ,,S,,,London
460,2,1,female,24.0,2,1,243847,$27.00 ,,S,12,,London
461,2,0,male,47.0,0,0,237565,$15.00 ,,S,,,"North Evington, England"
462,2,0,male,24.0,2,0,C.A. 31029,$31.50 ,,S,,,"Guernsey / Elizabeth, NJ"
463,2,0,male,22.0,2,0,C.A. 31029,$31.50 ,,S,,,"Guernsey / Elizabeth, NJ"
464,2,0,male,32.0,0,0,C.A. 33111,$10.50 ,,S,,,"St Ives, Cornwall / Houghton, MI"
465,2,1,female,23.0,0,0,SC/AH Basle 541,$13.79 ,D,C,11,,"New York, NY"
466,2,0,male,34.0,1,0,244367,$26.00 ,,S,,283.0,"Moscow / Bronx, NY"
467,2,1,female,24.0,1,0,244367,$26.00 ,,S,12,,"Moscow / Bronx, NY"
468,2,0,female,22.0,0,0,F.C.C. 13534,$21.00 ,,S,,,"India / Pittsburgh, PA"
469,2,1,female,,0,0,226593,$12.35 ,E101,Q,10,,"Harrisburg, PA"
470,2,0,male,35.0,0,0,233734,$12.35 ,,Q,,,
471,2,1,female,45.0,0,0,223596,$13.50 ,,S,9,,"London / New York, NY"
472,2,0,male,57.0,0,0,219533,$12.35 ,,Q,,,"Glasgow / Bangor, ME"
473,2,0,male,,0,0,239855,$0.00 ,,S,,,Belfast
474,2,0,male,31.0,0,0,C.A. 18723,$10.50 ,,S,,165.0,"Sweden / Arlington, NJ"
475,2,0,female,26.0,1,1,250651,$26.00 ,,S,,,"Minneapolis, MN"
476,2,0,male,30.0,1,1,250651,$26.00 ,,S,,,"Minneapolis, MN"
477,2,0,male,,0,0,240261,$10.71 ,,Q,,,
478,2,1,female,1.0,1,2,SC/Paris 2123,$41.58 ,,C,14,,Paris / Haiti
479,2,1,female,3.0,1,2,SC/Paris 2123,$41.58 ,,C,14,,Paris / Haiti
480,2,0,male,25.0,1,2,SC/Paris 2123,$41.58 ,,C,,,Paris / Haiti
481,2,1,female,22.0,1,2,SC/Paris 2123,$41.58 ,,C,14,,Paris / Haiti
482,2,1,female,17.0,0,0,SC 1748,$12.00 ,,C,12,,"Berne, Switzerland / Central City, IA"
483,2,1,female,,0,0,248727,$33.00 ,,S,11,,"London / Chicago, IL"
484,2,1,female,34.0,0,0,C.A. 34260,$10.50 ,F33,S,14,,"Chicago, IL"
485,2,0,male,36.0,0,0,SC/Paris 2163,$12.88 ,D,C,,,"Montreal, PQ"
486,2,0,male,24.0,0,0,C.A. 29566,$10.50 ,,S,,108.0,
487,2,0,male,61.0,0,0,235509,$12.35 ,,Q,,,
488,2,0,male,50.0,1,0,SC/AH 3085,$26.00 ,,S,,121.0,"Weston-Super-Mare, Somerset"
489,2,1,female,42.0,1,0,SC/AH 3085,$26.00 ,,S,,,"Weston-Super-Mare, Somerset"
490,2,0,female,57.0,0,0,S.O./P.P. 3,$10.50 ,E77,S,,52.0,"Southampton / New York, NY"
491,2,0,male,,0,0,237735,$15.05 ,D,C,,,Paris
492,2,1,male,1.0,0,2,S.C./PARIS 2079,$37.00 ,,C,10,,"Paris / Montreal, PQ"
493,2,0,male,31.0,1,1,S.C./PARIS 2079,$37.00 ,,C,,,"Paris / Montreal, PQ"
494,2,1,female,24.0,1,1,S.C./PARIS 2079,$37.00 ,,C,10,,"Paris / Montreal, PQ"
495,2,0,male,,0,0,SC/A.3 2861,$15.58 ,,C,,,"New York, NY"
496,2,0,male,30.0,0,0,28228,$13.00 ,,S,,,"St Austall, Cornwall"
497,2,0,male,40.0,0,0,239059,$16.00 ,,S,,,"Weston-Super-Mare / Moose Jaw, SK"
498,2,0,male,32.0,0,0,237216,$13.50 ,,S,,209.0,"Sydney, Australia"
499,2,0,male,30.0,0,0,233478,$13.00 ,,S,,,"Sarnia, ON"
500,2,0,male,46.0,0,0,28403,$26.00 ,,S,,,"Rochester, NY"
501,2,1,female,13.0,0,1,250644,$19.50 ,,S,14,,"England / Bennington, VT"
502,2,1,female,41.0,0,1,250644,$19.50 ,,S,14,,"England / Bennington, VT"
503,2,1,male,19.0,0,0,SW/PP 751,$10.50 ,,S,B,,"Chelsea, London"
504,2,0,male,39.0,0,0,248723,$13.00 ,,S,,,"Harrow-on-the-Hill, Middlesex"
505,2,0,male,48.0,0,0,234360,$13.00 ,,S,,271.0,"Copenhagen, Denmark"
506,2,0,male,70.0,0,0,C.A. 24580,$10.50 ,,S,,,"Guernsey / Montclair, NJ and/or Toledo, Ohio"
507,2,0,male,27.0,0,0,211536,$13.00 ,,S,,,"Worcester, MA"
508,2,0,male,54.0,0,0,29011,$14.00 ,,S,,,"Frankfort, KY"
509,2,0,male,39.0,0,0,250655,$26.00 ,,S,,,
510,2,0,male,16.0,0,0,S.O./P.P. 3,$10.50 ,,S,,,"Halesworth, England"
511,2,0,male,62.0,0,0,240276,$9.69 ,,Q,,,"Cambridge, MA"
512,2,0,male,32.5,1,0,237736,$30.07 ,,C,,43.0,"New York, NY"
513,2,1,female,14.0,1,0,237736,$30.07 ,,C,,,"New York, NY"
514,2,1,male,2.0,1,1,230080,$26.00 ,F2,S,D,,"Nice, France"
515,2,1,male,3.0,1,1,230080,$26.00 ,F2,S,D,,"Nice, France"
516,2,0,male,36.5,0,2,230080,$26.00 ,F2,S,,15.0,"Nice, France"
517,2,0,male,26.0,0,0,244368,$13.00 ,F2,S,,,"Boston, MA"
518,2,0,male,19.0,1,1,C.A. 33112,$36.75 ,,S,,101.0,"Cornwall / Hancock, MI"
519,2,0,male,28.0,0,0,218629,$13.50 ,,S,,287.0,Glasgow
520,2,1,male,20.0,0,0,SC/PARIS 2166,$13.86 ,D38,C,7,,"Cologne, Germany"
521,2,1,female,29.0,0,0,C.A. 29395,$10.50 ,F33,S,11,,"Folkstone, Kent / New York, NY"
522,2,0,male,39.0,0,0,28213,$13.00 ,,S,,,"Middleburg Heights, OH"
523,2,1,male,22.0,0,0,W./C. 14260,$10.50 ,,S,13,,"Pondersend, England / New Durham, NJ"
524,2,1,male,,0,0,SC/PARIS 2146,$13.86 ,,C,9,,"Spain / Havana, Cuba"
525,2,0,male,23.0,0,0,244278,$10.50 ,,S,,,"Hamilton, ON"
526,2,1,male,29.0,0,0,SC/PARIS 2147,$13.86 ,,C,9,,"Spain / Havana, Cuba"
527,2,0,male,28.0,0,0,SC 14888,$10.50 ,,S,,,"St Andrews, Guernsey"
528,2,0,male,,0,0,239853,$0.00 ,,S,,,Belfast
529,2,1,female,50.0,0,1,230433,$26.00 ,,S,12,,"Woodford County, KY"
530,2,0,male,19.0,0,0,28665,$10.50 ,,S,,,"Gunnislake, England / Butte, MT"
531,2,0,male,,0,0,SC/PARIS 2131,$15.05 ,,C,,,
532,2,0,male,41.0,0,0,237393,$13.00 ,,S,,,
533,2,1,female,21.0,0,1,S.O./P.P. 2,$21.00 ,,S,12,,"Ilfracombe, Devon"
534,2,1,female,19.0,0,0,250655,$26.00 ,,S,11,,"Worcester, England"
535,2,0,male,43.0,0,1,S.O./P.P. 2,$21.00 ,,S,,,"Ilfracombe, Devon"
536,2,1,female,32.0,0,0,234604,$13.00 ,,S,9,,Russia
537,2,0,male,34.0,0,0,250647,$13.00 ,,S,,,"Denmark / New York, NY"
538,2,1,male,30.0,0,0,C.A. 34644,$12.74 ,,C,14,,"Milford, NH"
539,2,0,male,27.0,0,0,SC/PARIS 2168,$15.03 ,,C,,,Paris
540,2,1,female,2.0,1,1,26360,$26.00 ,,S,11,,"Plymouth, Devon / Detroit, MI"
541,2,1,female,8.0,1,1,26360,$26.00 ,,S,11,,"Plymouth, Devon / Detroit, MI"
542,2,1,female,33.0,0,2,26360,$26.00 ,,S,11,,"Plymouth, Devon / Detroit, MI"
543,2,0,male,36.0,0,0,C.A. 17248,$10.50 ,,S,,,"Brighton, Sussex"
544,2,0,male,34.0,1,0,31027,$21.00 ,,S,12,,"Elizabeth, NJ"
545,2,1,female,30.0,3,0,31027,$21.00 ,,S,,,"Elizabeth, NJ"
546,2,1,female,28.0,0,0,230434,$13.00 ,,S,9,,Spain
547,2,0,male,23.0,0,0,SC/PARIS 2133,$15.05 ,,C,,,"Paris / Montreal, PQ"
548,2,1,male,0.8333,1,1,29106,$18.75 ,,S,4,,"Cornwall / Akron, OH"
549,2,1,male,3.0,1,1,29106,$18.75 ,,S,4,,"Cornwall / Akron, OH"
550,2,1,female,24.0,2,3,29106,$18.75 ,,S,4,,"Cornwall / Akron, OH"
551,2,1,female,50.0,0,0,W./C. 14258,$10.50 ,,S,13,,"London, England / Marietta, Ohio and Milwaukee, WI"
552,2,0,male,19.0,0,0,28004,$10.50 ,,S,,,
553,2,1,female,21.0,0,0,C.A. 31026,$10.50 ,,S,12,,"Guernsey / Wilmington, DE"
554,2,0,male,26.0,0,0,248659,$13.00 ,,S,,,"Newark, NJ"
555,2,0,male,25.0,0,0,244361,$13.00 ,,S,,,Liverpool
556,2,0,male,27.0,0,0,244358,$26.00 ,,S,,,"Hornsey, England"
557,2,1,female,25.0,0,1,230433,$26.00 ,,S,12,,"Deer Lodge, MT"
558,2,1,female,18.0,0,2,250652,$13.00 ,,S,16,,"Finland / Minneapolis, MN"
559,2,1,female,20.0,0,0,C.A. 33112,$36.75 ,,S,11,,"Cornwall / Hancock, MI"
560,2,1,female,30.0,0,0,250648,$13.00 ,,S,10,,"Finland / Washington, DC"
561,2,0,male,59.0,0,0,237442,$13.50 ,,S,,,"Sault St Marie, ON"
562,2,1,female,30.0,0,0,234818,$12.35 ,,Q,13,,"Halifax, NS"
563,2,0,male,35.0,0,0,28206,$10.50 ,,S,,,Cornwall
564,2,1,female,40.0,0,0,31418,$13.00 ,,S,9,,
565,2,0,male,25.0,0,0,C.A. 29178,$13.00 ,,S,,,"Cornwall / Houghton, MI"
566,2,0,male,41.0,0,0,237734,$15.05 ,,C,,,"New York, NY"
567,2,0,male,25.0,0,0,F.C.C. 13540,$10.50 ,,S,,81.0,"Catford, Kent / Detroit, MI"
568,2,0,male,18.5,0,0,248734,$13.00 ,F,S,,294.0,
569,2,0,male,14.0,0,0,220845,$65.00 ,,S,,,"Somerset / Bernardsville, NJ"
570,2,1,female,50.0,0,0,F.C.C. 13531,$10.50 ,,S,9,,"Indianapolis, IN"
571,2,0,male,23.0,0,0,233639,$13.00 ,,S,,,
572,2,1,female,28.0,0,0,240929,$12.65 ,,S,,,"Columbus, OH"
573,2,1,female,27.0,0,0,34218,$10.50 ,E101,S,16,,"Bath, England / Massachusetts"
574,2,0,male,29.0,1,0,11668,$21.00 ,,S,,,"Plymouth, England"
575,2,0,female,27.0,1,0,11668,$21.00 ,,S,,,"Plymouth, England"
576,2,0,male,40.0,0,0,28221,$13.00 ,,S,,,"Barre, Co Washington, VT"
577,2,1,female,31.0,0,0,F.C.C. 13528,$21.00 ,,S,14,,"Mamaroneck, NY"
578,2,0,male,30.0,1,0,CA 31352,$21.00 ,,S,,,"Bristol, England / New Britain, CT"
579,2,0,male,23.0,1,0,28666,$10.50 ,,S,,,
580,2,1,female,31.0,0,0,CA 31352,$21.00 ,,S,10,,"Bristol, England / New Britain, CT"
581,2,0,male,,0,0,239856,$0.00 ,,S,,,Belfast
582,2,1,female,12.0,0,0,C.A. 33595,$15.75 ,,S,9,,"Aberdeen / Portland, OR"
583,2,1,female,40.0,0,0,C.A. 33595,$15.75 ,,S,9,,"Aberdeen / Portland, OR"
584,2,1,female,32.5,0,0,27267,$13.00 ,E101,S,12,,"England / Hartford, CT"
585,2,0,male,27.0,1,0,228414,$26.00 ,,S,,293.0,"Bromsgrove, England / Montreal, PQ"
586,2,1,female,29.0,1,0,228414,$26.00 ,,S,10,,"Bromsgrove, England / Montreal, PQ"
587,2,1,male,2.0,1,1,29103,$23.00 ,,S,14,,"Cornwall / Akron, OH"
588,2,1,female,4.0,1,1,29103,$23.00 ,,S,14,,"Cornwall / Akron, OH"
589,2,1,female,29.0,0,2,29103,$23.00 ,,S,14,,"Cornwall / Akron, OH"
590,2,1,female,0.9167,1,2,C.A. 34651,$27.75 ,,S,10,,"Bournmouth, England"
591,2,1,female,5.0,1,2,C.A. 34651,$27.75 ,,S,10,,"Bournmouth, England"
592,2,0,male,36.0,1,2,C.A. 34651,$27.75 ,,S,,,"Bournmouth, England"
593,2,1,female,33.0,1,2,C.A. 34651,$27.75 ,,S,10,,"Bournmouth, England"
594,2,0,male,66.0,0,0,C.A. 24579,$10.50 ,,S,,,"Guernsey, England / Edgewood, RI"
595,2,0,male,,0,0,SC/PARIS 2159,$12.88 ,,S,,,
596,2,1,male,31.0,0,0,244270,$13.00 ,,S,9,,"London, England"
597,2,1,male,,0,0,244373,$13.00 ,,S,14,,"Harrow, England"
598,2,1,female,26.0,0,0,220844,$13.50 ,,S,9,,"Yoevil, England / Cottage Grove, OR"
599,2,0,female,24.0,0,0,248747,$13.00 ,,S,,,Paris
600,3,0,male,42.0,0,0,C.A. 5547,$7.55 ,,S,,,
601,3,0,male,13.0,0,2,C.A. 2673,$20.25 ,,S,,,"East Providence, RI"
602,3,0,male,16.0,1,1,C.A. 2673,$20.25 ,,S,,190.0,"East Providence, RI"
603,3,1,female,35.0,1,1,C.A. 2673,$20.25 ,,S,A,,"East Providence, RI"
604,3,1,female,16.0,0,0,348125,$7.65 ,,S,16,,"Norway Los Angeles, CA"
605,3,1,male,25.0,0,0,348122,$7.65 ,F G63,S,A,,"Perkins County, SD"
606,3,1,male,20.0,0,0,SOTON/O2 3101284,$7.93 ,,S,15,,"Taalintehdas, Finland Hoboken, NJ"
607,3,1,female,18.0,0,0,2657,$7.23 ,,C,C,,"Greensburg, PA"
